age,sex,race,region,educ,exper,earnings,weeks,hours
40,2,1,3,20,14,28000,48,40
29,2,2,3,14,9,28500,17,40
39,1,1,3,16,17,43500,52,40
54,1,1,1,14,34,78000,52,40
37,1,1,2,12,19,82000,52,65
34,1,1,1,16,12,55450,52,45
47,1,1,1,5.5,29,23000,52,40
25,1,2,1,16,3,27000,52,40
37,2,1,1,16,15,2100,52,40
51,1,1,1,16,29,36400,52,70
42,2,1,1,14,22,25000,52,45
28,1,1,1,12,10,18300,52,55
49,1,1,1,12,31,15840,52,40
26,1,1,2,18,2,52000,52,56
41,2,1,1,12,23,40000,52,45
47,2,1,3,14,27,16000,46,40
29,1,1,3,12,11,21594,50,40
43,2,1,3,12,25,9600,52,24
42,2,2,1,12,24,11000,52,20
34,2,4,1,16,12,34000,33,36
52,2,1,2,14,32,18937,52,48
47,1,2,3,12,29,13000,52,20
48,1,1,3,14,28,42000,52,40
53,1,1,3,14,33,32000,52,40
39,2,1,2,12,21,1000,52,8
29,1,1,3,18,5,32000,52,40
41,2,1,3,18,17,40000,24,32
41,2,1,3,14,21,31800,52,40
41,1,1,1,12,23,53000,52,50
42,2,2,3,10,24,10400,52,40
52,1,1,2,12,34,60000,52,40
30,1,1,1,14,10,32500,52,45
54,1,1,1,18,30,111000,52,40
32,1,1,1,18,8,3000,10,20
40,1,1,1,14,20,50000,52,50
44,2,1,1,14,24,38000,52,40
53,2,1,1,12,35,12000,52,30
40,2,1,3,14,20,400,5,13
35,1,1,2,12,17,40000,48,40
38,2,1,1,14,18,40000,52,55
45,2,1,1,16,23,90000,52,45
25,2,1,4,14,5,25000,52,40
34,2,1,2,12,16,74000,52,45
30,2,1,4,14,10,3000,25,20
46,1,1,4,12,28,78000,52,60
26,1,1,4,12,8,27000,52,40
44,2,2,3,7.5,26,28600,52,84
29,2,1,3,16,7,35000,40,40
41,2,1,1,18,17,49000,52,35
53,2,1,3,14,33,41881,52,42
26,1,1,4,12,8,46000,52,40
36,2,1,3,12,18,15000,52,40
32,2,1,4,12,14,16944,52,40
35,2,1,4,16,13,47000,48,45
51,1,1,1,12,33,40000,52,48
42,1,1,4,14,22,13000,48,48
45,1,1,1,12,27,53800,52,50
41,1,1,4,12,23,200000,52,50
37,1,1,3,16,15,21000,52,40
44,1,4,4,12,26,20000,52,40
41,2,1,2,14,21,36000,52,50
51,1,1,4,14,31,50000,52,60
44,2,1,1,18,20,26950,52,40
46,1,1,1,14,26,7200,16,40
29,1,1,4,14,9,36000,52,60
43,1,1,2,12,25,6700,47,35
35,2,1,1,16,13,20000,52,16
42,2,1,1,14,22,52000,52,55
44,1,1,4,5.5,26,26000,52,40
27,2,1,3,16,5,25000,52,50
46,1,5,2,12,28,26000,52,40
29,1,1,2,16,7,46500,52,40
26,1,1,1,16,4,30000,52,40
32,1,1,3,12,14,43000,52,50
44,1,1,2,12,26,27040,52,40
37,2,1,1,16,15,6000,49,12
35,2,1,3,10,17,15132,52,52
36,2,1,3,14,16,14007,52,53
54,1,1,4,16,32,50000,52,40
32,1,1,3,10,14,35000,52,35
36,1,1,4,12,18,30000,52,40
26,2,1,4,12,8,19700,52,40
26,2,1,2,12,8,24000,52,40
50,1,1,4,12,32,70000,52,50
28,2,3,3,12,10,38000,52,40
35,2,1,4,14,15,21000,40,35
39,2,1,4,12,21,51000,52,40
51,2,1,3,14,31,45000,52,60
36,2,1,2,16,14,35000,43,20
37,1,1,4,14,17,20000,49,40
51,2,1,2,14,31,32000,52,40
29,1,1,3,9,11,21600,52,40
40,1,1,4,9,22,18000,52,40
53,1,1,4,16,31,22000,52,40
44,1,1,4,16,22,60000,52,40
38,1,1,4,18,14,165000,46,60
45,1,2,2,18,21,33000,52,40
40,2,1,2,16,18,7000,25,25
38,2,1,4,12,20,15684,11,40
25,1,1,4,14,5,20000,52,40
35,2,1,4,14,15,7500,48,28
26,1,1,4,12,8,23000,52,40
32,2,1,4,18,8,24960,52,40
32,1,1,4,14,12,26000,52,40
35,2,1,4,14,15,10400,52,20
29,1,1,4,12,11,56000,52,42
50,2,1,4,14,30,62000,52,40
50,1,1,4,18,26,4500,18,40
38,2,1,4,12,20,79000,52,40
32,2,1,2,14,12,21600,35,40
28,1,4,2,16,6,9000,52,40
45,1,1,2,14,25,40000,52,40
52,2,1,4,18,28,55000,44,40
47,2,1,4,14,27,1000,30,4
32,1,5,2,12,14,35000,52,50
32,1,2,2,18,8,44200,52,45
54,2,1,3,14,34,16130,52,40
49,2,1,4,14,29,13000,26,32
30,2,1,4,16,8,1500,12,10
45,1,1,2,14,25,80000,52,40
32,1,5,3,14,12,23000,52,50
32,2,1,4,14,12,12000,52,40
25,1,1,2,14,5,22000,52,50
35,2,2,2,14,15,30000,52,40
49,1,1,4,12,31,15000,26,40
39,1,1,4,9,21,56500,50,40
49,2,1,4,5.5,31,9000,44,7
54,1,1,4,16,32,35000,52,40
32,1,1,2,14,12,56000,52,40
35,2,1,2,14,15,17000,42,36
47,1,1,4,14,27,40000,52,40
27,1,1,2,14,7,3440,43,10
42,1,1,3,9,24,4000,8,30
52,1,1,2,14,32,23400,52,40
46,1,1,4,12,28,86000,52,40
49,2,1,2,14,29,24000,52,32
30,2,1,2,16,8,31000,52,40
41,2,1,4,14,21,37000,52,40
41,2,1,2,18,17,13000,52,20
34,2,1,2,12,16,20000,52,40
48,1,1,3,12,30,76000,52,50
29,1,1,2,16,7,8000,10,40
39,2,1,3,16,17,41000,52,99
49,1,1,2,14,29,50000,50,40
39,2,1,2,14,19,19200,52,40
50,1,1,2,12,32,24000,50,40
49,1,1,2,12,31,22000,52,80
49,2,1,4,14,29,26000,52,99
53,2,1,2,14,33,61000,52,40
36,2,1,2,12,18,32900,52,40
31,1,1,2,16,9,45000,52,45
25,1,1,4,14,5,28000,52,40
33,1,2,2,14,13,9443,25,40
43,1,2,2,14,23,46000,52,44
38,1,1,2,16,16,90000,52,50
27,2,1,3,14,7,11000,45,40
41,2,1,2,14,21,35000,52,45
36,1,1,2,12,18,75000,52,45
44,1,1,3,12,26,32000,52,40
47,2,1,3,12,29,17980,52,40
42,2,1,2,12,24,90000,52,40
51,2,1,4,18,27,49000,52,40
30,1,1,4,14,10,15000,40,55
46,1,4,4,16,24,65000,52,36
39,2,1,4,12,21,70000,52,40
26,2,1,4,14,6,4620,24,40
47,1,1,4,12,29,40000,52,40
49,1,1,4,12,31,50000,52,40
53,2,1,2,12,35,35000,52,55
50,2,1,2,7.5,32,26702,52,40
45,1,1,4,20,19,27600,52,50
49,2,1,4,14,29,40000,52,40
25,2,1,2,16,3,29000,52,40
34,2,1,4,16,12,22000,46,30
44,1,1,4,16,22,163000,52,50
34,1,1,2,12,16,42000,52,45
51,1,2,2,14,31,40000,52,40
53,1,1,4,14,33,40000,52,50
29,2,1,4,14,9,4500,30,15
44,2,1,4,18,20,48000,52,40
39,1,1,2,14,19,92000,52,50
40,2,4,4,10,22,6000,52,30
31,1,1,4,18,7,48000,52,45
34,1,2,1,12,16,12000,30,40
51,2,1,1,11,33,37440,52,36
46,2,1,3,16,24,25000,52,40
32,2,1,2,14,12,29000,52,40
31,2,1,3,14,11,15000,52,25
50,2,1,3,20,24,8000,26,30
54,2,1,1,9,36,1680,4,40
26,1,1,3,5.5,8,8500,25,60
29,1,1,3,18,5,75000,52,40
35,2,1,3,12,17,20000,45,42
40,1,2,1,14,20,3000,17,40
54,2,1,1,12,36,30000,52,40
25,1,1,2,11,7,23000,35,40
48,1,1,1,12,30,25000,52,40
43,1,1,1,14,23,46000,52,40
31,1,1,3,14,11,36360,52,48
45,1,1,1,14,25,51350,52,40
33,2,1,3,16,11,108000,52,40
37,1,1,3,12,19,28000,52,40
47,2,1,1,12,29,9210,52,25
45,2,1,1,16,23,60000,52,40
36,2,1,1,14,16,23296,52,16
52,2,1,1,18,28,75000,52,35
46,1,1,1,14,26,87000,52,40
43,2,3,1,14,23,30000,52,38
35,2,1,1,14,15,15000,42,20
51,2,1,1,12,33,18000,40,35
44,2,1,1,14,24,13000,35,40
43,1,1,3,12,25,35000,52,52
37,2,1,2,12,19,3000,26,26
25,2,1,1,16,3,29000,52,50
45,2,1,1,14,25,7200,52,40
50,2,1,3,12,32,22000,52,35
25,1,1,3,12,7,50000,52,40
47,1,1,3,14,27,33000,52,45
40,2,1,3,14,20,14000,52,30
30,2,2,1,12,12,15000,52,40
40,1,1,1,14,20,40000,52,40
42,2,1,1,14,22,3600,40,4
41,1,1,1,14,21,35000,52,55
29,2,1,3,12,11,17000,52,40
50,2,1,1,12,32,8000,39,20
39,2,2,3,16,17,30000,52,20
38,1,1,3,14,18,30000,52,40
38,1,1,1,12,20,30000,52,40
31,1,1,1,14,11,75000,52,50
50,2,1,3,12,32,100000,52,30
31,1,1,1,12,13,24000,52,40
51,1,1,1,14,31,32000,52,40
30,2,1,1,16,8,32000,52,40
26,1,1,1,14,6,27000,52,40
54,1,1,1,16,32,78000,52,35
51,1,4,2,20,25,75000,52,60
33,1,2,2,14,13,43000,52,40
54,2,1,2,7.5,36,13000,52,35
46,2,1,1,12,28,80000,52,40
48,1,1,3,18,24,100000,52,48
27,1,1,3,12,9,35000,52,45
46,2,1,1,16,24,325,1,30
33,2,1,1,12,15,10000,52,12
41,1,1,3,14,21,60000,52,60
30,2,1,3,16,8,58000,52,55
53,1,1,3,20,27,75000,52,50
38,1,1,3,14,18,50000,52,40
40,2,1,3,12,22,30000,52,40
26,1,2,3,14,6,14000,43,60
30,1,1,3,14,10,45000,52,40
